ID,Code,Address/Intersection/Area,Latitude,Longitude
314107,PFI10,Amazon Community Center,44.0281163034578,-123.082331061918
314382,PFI10,SB,44.0590854032271,-123.092175023820
314386,PFI10,AC,44.0498661782025,-123.167482247447
314395,PFI10,Bertelsen,44.0551206402469,-123.161808972978
314396,PFI10,Bertelsen,44.0551031386272,-123.161629782936
314399,PFI10,Bertelsen,44.0551441909006,-123.161072364797
314432,PFI10,Walnut Grove,44.0861672610031,-123.146779522581
314485,PFI10,AC,44.0423042073715,-123.119890909328
314867,PFI10,Skinners Butte,44.0585524933342,-123.097157009227
315019,PFI10,Delta Ponds,44.0761928984335,-123.106933851425
315042,PFI10,Knickerbocker,44.0442716590772,-123.052545841057
315113,PFI10,Riverview/I-5,44.0428271086045,-123.051622742313
315245,PFI10,West Bank,44.0847616858928,-123.119008881597
315271,PFI10,AC,44.0471438408512,-123.137555656483
315281,PFI10,AC,44.0461710649572,-123.131524173895
315285,PFI10,Skinners Butte,44.0594108138283,-123.091456810230
315287,PFI10,Delta Ponds,44.0714543595571,-123.114027833568
315289,PFI10,WJ,44.0598708883231,-123.100353639136
315301,PFI10,Delta Ponds,44.0759244968148,-123.107607312733
315314,PFI10,AB,44.0524703277089,-123.079536100670
315616,PFI10,Bertelsen,44.0549316198575,-123.161703876951
315967,PFI10,Amazon,44.0241932365111,-123.082071517257
315991,PFI10,AB,44.0525070906330,-123.070857124981
316215,PFI10,Delta Ponds,44.0759959052928,-123.108489042236
316252,PFI10,AB,44.0511331361347,-123.065279072661
316272,PFI10,North Bank,44.0660442654392,-123.106960487397
316281,PFI10,Bertelsen,44.0550578136618,-123.158998706861
316360,PFI10,Amazon,44.0301595986224,-123.085969982906
316396,PFI10,Rasor Park,44.0732235741131,-123.116118193731
316641,PFI10,Skinners Butte,44.0584663527489,-123.089771626815
316663,PFI10,Knickerbocker,44.0448537906072,-123.053076754361
316680,PFI10,Debrick Slough,44.0862279415968,-123.103728155728
316682,PFI10,Pin location,43.9988459198396,-123.052917599790
316684,PFI10,Pin location,44.0874208978375,-123.170864162751
316711,PFI10,AC,44.0464260836717,-123.145027731890
316721,PFI10,Oak Patch East,44.0461884312382,-123.131886080127
316722,PFI10,Delta Ponds,44.0714307015302,-123.113998834323
316819,PFI10,AC,44.0423000425171,-123.121905562464
316827,PFI10,AC,44.0465237349979,-123.144942750855
316836,PFI10,Bertelsen,44.0556957621093,-123.158424744437
316955,PFI10,Skinners Butte,44.0603041834635,-123.090617871200
316989,PFI10,Terry,44.0920548869309,-123.190127658110
317032,PFI10,Delta Ponds,44.0741739031085,-123.113596961246
317147,PFI10,Oak Path West,44.0471689506128,-123.137516555447
317157,PFI10,AC,44.0462159984389,-123.128002897404
317159,PFI10,Rasor,44.0711565485858,-123.116528651134
317163,PFI10,Melvin Miller,44.0307227452240,-123.134650658506
317191,PFI10,Bertelsen,44.0551581233863,-123.162035615254
