ID,Code,Address/Intersection/Area,Latitude,Longitude,"Date of cleanup, inspection or posting",Staff hours,# staff members,Pieces of equipment used,Items to storage?,Hazmat,Yards of debris,Images?
311641,SWM30,Ferry Street Bridge,44.0596951301109,-123.082046220394,Mar-20,0,1,0,Yes; expired,,0,Yes
313430,SFS30,HWY 99/Roosevelt Blvd,44.0637608116944,-123.136140989819,Mar-20,7,4,3,No,,0,No
314106,SFS30,Madison/Clark,44.0592893261506,-123.102555366524,Mar-20,12,4,3,No,Called NW Hazmat (feces),0,No
314107,PFI10,Amazon Community Center,44.0281163034578,-123.082331061918,Mar-20,0,1,0,No,,0,No
314194,SWM30,Ferry Street Bridge,44.0597105171031,-123.082006173700,Mar-20,0,1,0,No,,0,Yes
314382,PFI10,SB,44.0590854032271,-123.092175023820,Mar-20,0,1,0,No,Needles,0,Yes
314386,PFI10,AC,44.0498661782025,-123.167482247447,Mar-20,0.5,1,0,No,,0,Yes
314395,PFI10,Bertelsen,44.0551206402469,-123.161808972978,Mar-20,0.5,1,0,No,,0,Yes
314396,PFI10,Bertelsen,44.0551031386272,-123.161629782936,Mar-20,0.5,1,0,Yes; expired,,0,Yes
314399,PFI10,Bertelsen,44.0551441909006,-123.161072364797,Mar-20,0.5,1,0,Yes; returned,,0,Yes
314432,PFI10,Walnut Grove,44.0861672610031,-123.146779522581,Mar-20,1,1,0,No,,0,Yes
314480,SFS30,Pin location,44.0422928007993,-123.117862475592,Mar-20,1,2,1,No,,0,No
314485,PFI10,AC,44.0423042073715,-123.119890909328,Mar-20,0,1,0,No,,0,Yes
314568,SFS30,Pin location,44.0562257097882,-123.100305017755,Mar-20,2.5,3,1,No,,0,Yes
314642,SFS30,Pin location,44.0533819393067,-123.196344741966,Mar-20,10.5,4,2,No,,0,No
314664,SFS30,3rd/Monroe,44.0572650648564,-123.106098456447,Mar-20,1,1,1,No,,0,No
314705,SFS30,W 1st/Lawrence,44.0587406508303,-123.099495615458,Mar-20,9,5,3,No,,0,Yes
314746,SFS30,190-block S Danebo,44.0573978844976,-123.178155235520,Mar-20,2,2,1,No,,0,No
314775,SWM30,Chambers connector,44.0615453451401,-123.117328539174,Mar-20,0.5,1,0,No,,0,Yes
314776,SWM30,Chambers connector,44.0627117865381,-123.117074430128,Mar-20,0.5,1,0,Yes; returned,,0,Yes
314778,SWM30,Chambers connector,44.0619685577108,-123.117103895231,Mar-20,0.5,1,0,No,,0,Yes
314779,SWM30,Chambers connector,44.0613373886234,-123.116927443319,Mar-20,0.5,1,0,No,,0,Yes
314782,SWM30,Chambers connector,44.0610390627648,-123.116988307210,Mar-20,0.5,1,0,No,,0,Yes
314783,SWM30,Chambers connector,44.0609212555337,-123.116993814005,Mar-20,0.5,1,0,No,,0,Yes
314786,SWM30,Chambers connector,44.0604128926618,-123.117053438670,Mar-20,0.5,1,0,No,,0,Yes
314867,PFI10,Skinners Butte,44.0585524933342,-123.097157009227,Mar-20,0,1,0,Yes; expired,,0,Yes
315019,PFI10,Delta Ponds,44.0761928984335,-123.106933851425,Mar-20,0,1,0,No,,0,Yes
315042,PFI10,Knickerbocker,44.0442716590772,-123.052545841057,Mar-20,1,1,0,No,,0,Yes
315079,SFS30,1002 Grant St,44.0483990709657,-123.120355217150,Mar-20,3.5,5,1,No,,0,No
315083,SFS30,2nd/Adams,44.0576913998493,-123.105693590186,Mar-20,1.5,3,2,No,,0,No
315087,SFS30,E 8th Ave at Ferry Street Bridge,44.0532809602070,-123.086487936903,Mar-20,2.5,3,2,No,,0,No
315088,SFS30,697 Goodpasture Island Road,44.0850402517227,-123.102200670234,Mar-20,2,3,1,No,,0,No
315111,SFS30,Knickerbocker Bridge/South Bank Path,44.0444185016392,-123.052513600753,Mar-20,3,3,2,No,,0,No
315112,SFS30,Franklin/Walnut,44.0449403749723,-123.061484692514,Mar-20,2.5,3,1,No,,0,No
315113,PFI10,Riverview/I-5,44.0428271086045,-123.051622742313,Mar-20,2.5,3,1,No,,0,No
315245,PFI10,West Bank,44.0847616858928,-123.119008881597,Mar-20,1,1,0,No,,0,Yes
315271,PFI10,AC,44.0471438408512,-123.137555656483,Mar-20,0.25,1,0,No,,0,Yes
315276,SFS30,I-5/Franklin,44.0449834695158,-123.056168523098,Mar-20,3,3,2,No,,0,No
315279,SFS30,I-5/Riverview,44.0428271086045,-123.051622742313,Mar-20,3,3,2,No,,0,No
315280,SFS30,Hilyard/Amazon Pkwy,44.0241865666490,-123.081468881232,Mar-20,5.5,4,1,No,,0,No
315281,PFI10,AC,44.0461710649572,-123.131524173895,Mar-20,0.25,1,0,No,,0,Yes
315282,SFS30,Coburg/MLK,44.0600470547171,-123.082222093946,Mar-20,1.5,2,1,No,,0,No
315285,PFI10,Skinners Butte,44.0594108138283,-123.091456810230,Mar-20,0.5,2,0,No,,0,Yes
315287,PFI10,Delta Ponds,44.0714543595571,-123.114027833568,Mar-20,1,1,0,No,,0,Yes
315289,PFI10,WJ,44.0598708883231,-123.100353639136,Mar-20,0,1,0,No,,0,Yes
315301,PFI10,Delta Ponds,44.0759244968148,-123.107607312733,Mar-20,0.5,2,0,No,,0,Yes
315314,PFI10,AB,44.0524703277089,-123.079536100670,Mar-20,0.5,2,0,No,,0,Yes
315616,PFI10,Bertelsen,44.0549316198575,-123.161703876951,Mar-20,1,1,0,No,,0,Yes
315649,SFS30,3rd Aly/Madison,44.0560075994469,-123.103335706780,Mar-20,5.5,5,1,No,,0,No
315859,SFS30,6th/Broadway,44.0522467728162,-123.084393290167,Mar-20,3.5,4,2,No,,0,No
315967,PFI10,Amazon,44.0241932365111,-123.082071517257,Mar-20,0.5,2,0,No,,0,Yes
315991,PFI10,AB,44.0525070906330,-123.070857124981,Mar-20,0.5,2,0,No,,0,Yes
316051,SFS30,327 Adams,44.0562230846394,-123.106107916716,Mar-20,3.5,4,2,No,,0,No
316071,SFS30,W 3rd/Monroe,44.0559977077889,-123.104840402513,Mar-20,7,5,2,No,Called NW Hazmat,0,No
316084,SFS30,Pin location,44.0593682092705,-123.101791742934,Mar-20,3,3,1,No,,0,No
316085,SFS30,W 1st/Van Buren,44.0587420173158,-123.109428685305,Mar-20,3,3,1,No,,0,No
316088,SFS30,W 1st/Jefferson,44.0587524596980,-123.101770076756,Mar-20,11.5,5,4,Yes; expired,,0,No
316215,PFI10,Delta Ponds,44.0759959052928,-123.108489042236,Mar-20,1.5,2,0,No,,0,Yes
316230,SWM30,HWY 99/Roosevelt Blvd,44.0639671108996,-123.137607261902,Mar-20,0,1,0,No,,0,Yes
316243,SWM30,5th Street,44.0547299803963,-123.127691532502,Mar-20,0,1,0,No,,0,Yes
316252,PFI10,AB,44.0511331361347,-123.065279072661,Mar-20,1.5,2,0,No,,0,Yes
316260,SWM30,7th/Garfield,44.0518821778040,-123.124633815887,Mar-20,0,1,0,No,,0,Yes
316272,PFI10,North Bank,44.0660442654392,-123.106960487397,Mar-20,0.5,2,0,No,,0,Yes
316281,PFI10,Bertelsen,44.0550578136618,-123.158998706861,Mar-20,1,1,0,No,,0,Yes
316299,SFS30,W 1st/Van Buren,44.0587420173158,-123.109428685305,Mar-20,20,6,3,Yes; returned,,0,No
316360,PFI10,Amazon,44.0301595986224,-123.085969982906,Mar-20,0.25,1,0,No,,0,Yes
316396,PFI10,Rasor Park,44.0732235741131,-123.116118193731,Mar-20,1,1,0,No,,0,Yes
316641,PFI10,Skinners Butte,44.0584663527489,-123.089771626815,Mar-20,0.5,2,0,No,,0,Yes
316663,PFI10,Knickerbocker,44.0448537906072,-123.053076754361,Mar-20,1,2,0,No,,0,Yes
316666,SFS30,305 Taylor,44.0563718938240,-123.113658867319,Mar-20,5,5,3,No,,0,No
316680,PFI10,Debrick Slough,44.0862279415968,-123.103728155728,Mar-20,0,1,0,No,,0,Yes
316682,PFI10,Pin location,43.9988459198396,-123.052917599790,Mar-20,0.5,1,0,No,,0,Yes
316684,PFI10,Pin location,44.0874208978375,-123.170864162751,Mar-20,0.5,1,0,No,,0,Yes
316696,SFS30,W 2nd/Taylor,44.0575065714342,-123.113795513947,Mar-20,4,5,2,No,,0,No
316700,SFS30,3rd Aly/Taylor,44.0565145251558,-123.114050472695,Mar-20,8.5,5,3,No,,0,No
316707,SFS30,3rd/Monroe,44.0567888690137,-123.104809361455,Mar-20,10,5,3,No,,0,No
316709,SFS30,Monroe/Clark,44.0598351165715,-123.105266685504,Mar-20,8,5,3,No,Called NW Hazmat,0,No
316711,PFI10,AC,44.0464260836717,-123.145027731890,Mar-20,0.5,1,0,No,,0,Yes
316712,SFS30,W 18th/Chambers,44.0404284372522,-123.117673312996,Mar-20,6.5,5,4,No,,0,No
316716,SWM30,Chambers connector,44.0616764387641,-123.117141053513,Mar-20,0,1,0,No,,0,Yes
316718,SFS30,1st Aly/Jefferson Aly,44.0571757282689,-123.101831981101,Mar-20,15,5,4,No,,0,Yes
316721,PFI10,Oak Patch East,44.0461884312382,-123.131886080127,Mar-20,0.25,1,0,No,,0,Yes
316722,PFI10,Delta Ponds,44.0714307015302,-123.113998834323,Mar-20,0.5,2,0,No,,0,Yes
316737,SFS30,W 4th/Lawrence,44.0554446115773,-123.098744796805,Mar-20,10,5,4,No,,0,No
316738,SFS30,Polk/Railroad Blvd,44.0597634017224,-123.112369022359,Mar-20,10.5,5,2,No,,0,No
316740,SFS30,E 4th Ave/High St,44.0554308211291,-123.088088754100,Mar-20,4,4,2,No,,0,No
316819,PFI10,AC,44.0423000425171,-123.121905562464,Mar-20,0.5,1,0,No,,0,Yes
316822,SFS30,500 E 4th Ave,44.0553954422041,-123.085712541797,Mar-20,5.5,5,1,No,,2,No
316823,SFS30,Coburg/MLK,44.0594846513055,-123.080955424875,Mar-20,2,3,2,No,,0,No
316824,SFS30,2800 Bailey Lane,44.0760788176938,-123.066677656060,Mar-20,6.5,5,3,No,,0,No
316827,PFI10,AC,44.0465237349979,-123.144942750855,Mar-20,0.5,1,0,No,,0,Yes
316828,SWM30,Ferry Street Bridge,44.0528898959533,-123.086812143028,Mar-20,0.5,2,1,No,,0,No
316832,SFS30,2nd/Lawrence Aly,44.0576537559329,-123.104072681285,Mar-20,20.5,5,3,No,,0,No
316835,SFS30,2nd/Chambers,44.0575213085334,-123.117329766332,Mar-20,15,6,3,No,,5,No
316836,PFI10,Bertelsen,44.0556957621093,-123.158424744437,Mar-20,0.5,1,0,No,,0,Yes
316945,SFS30,7th/Chambers,44.0521816732336,-123.118329300119,Mar-20,3.5,5,2,No,,0,No
316955,PFI10,Skinners Butte,44.0603041834635,-123.090617871200,Mar-20,0.5,2,0,No,,0,Yes
316957,SFS30,701 High St,44.0519212046352,-123.087860293263,Mar-20,2,4,0,No,,0,No
316964,SFS30,Bailey Hill Road/Fern Ridge Path,44.0465252620567,-123.147936409101,Mar-20,2.5,3,1,No,,0,No
316968,SFS30,1688 Charnelton St,44.0413081352410,-123.096178989216,Mar-20,5.5,4,2,No,,0,No
